longitude,latitude,Industry
-74.5761,40.2003,p
-71.4227,42.0761,p
-118.2414,33.7943,p
-74.3913,40.5358,p
-89.0466,41.9084,p
-73.1534,44.4777,p
-74.34,40.5161,p
-84.3869,33.7583,p
-72.1712,42.1091,p
-72.1705,42.1093,p
-119.4158,36.67,p
-120.5069,37.3522,p
-121.6697,39.2917,p
-74.5797,40.2058,p
-118.2242,34.0269,p
-71.7622,42.5814,p
-74.7302,40.8942,p
-74.5836,40.1964,p
-71.1922,41.8094,p
-121.1528,44.5281,p
-86.0853,42.7553,p
-78.4117,35.4325,p
-75.1917,40.1392,p
-73.9069,40.7889,p
-77.6058,36.4972,p
-73.9912,40.7713,p
-71.7428,42.6267,p
-82.3333,29.7,p
-73.9515,40.768,p
-118.3372,35.1011,p
-118.3372,35.1011,p
-81.4936,35.0314,p
-87.715,37.9053,p
-119.5047,37.150999999999996,p
-72.8349,41.4482,p
-66.1494,17.9474,p
-86.7799,33.5828,p
-119.1056,35.1697,p
-74.6906,39.4375,p
-74.5422,39.4175,p
-74.6809,39.4606,p
-93.3911,32.0039,p
-83.4348,32.7755,p
-83.8863,40.8928,p
-85.3149,41.2326,p
-82.1256,38.3622,p
-81.7178,39.5333,p
-75.4172,40.1218,p
-118.1009,33.7688,p
-84.2083,39.7286,p
-158.1065,21.3034,p
-117.9792,33.6439,p
-66.1591,17.9468,p
-87.2525,38.5281,p
-118.395,33.8504,p
-94.6458,35.1931,p
-78.7453,39.5952,p
-78.7453,39.5931,p
-104.8066,38.9579,p
-71.7378,42.5019,p
-82.8608,33.1189,p
-77.9856,35.4189,p
-86.2825,33.1661,p
-84.1108,41.4067,p
-71.4535,42.1106,p
-71.5158,42.0599,p
-117.0106,33.74,p
-76.2991,39.3975,p
-122.9753,38.7614,p
-117.9169,33.8364,p
-121.9445,37.4176,p
-118.4244,34.7803,p
-117.9736,34.7489,p
-98.0407,29.594,p
-98.494,45.4299,p
-106.42299999999999,36.2399,p
-92.4131,30.4286,p
-71.4306,42.4733,p
-110.8633,32.1825,p
-70.7436,41.7989,p
-71.0425,41.6622,p
-70.9972,41.7144,p
-70.9706,41.7517,p
-85.4941,42.9627,p
-85.4859,42.9506,p
-94.665,41.4236,p
-74.5309,39.4114,p
-104.5877,39.7867,p
-104.5859,39.7876,p
-72.2,42.6,p
-94.6717,40.92,p
-92.7241,43.5548,p
-94.7356,44.9169,p
-117.3775,34.5572,p
-117.3775,34.5572,p
-117.4353,34.5508,p
-120.3249,37.1206,p
-89.8036,42.3622,p
-121.8931,37.3306,p
-95.9328,43.6371,p
-83.9929,41.891000000000005,p
-72.5119,42.015,p
-101.3278,36.4725,p
-120.86,35.9533,p
-121.1629,38.6135,p
-121.1703,38.6086,p
-106.8465,32.1142,p
-96.4356,47.0053,p
-72.6144,42.0819,p
-121.9272,37.4058,p
-90.8664,41.6919,p
-93.1269,30.2012,p
-151.3784,60.6732,p
-89.6236,41.3017,p
-113.4945,32.9774,p
-112.2153,33.5561,p
-117.3603,34.0414,p
-66.2312,17.9533,p
-66.2308,17.9519,p
-122.881,38.8339,p
-99.8917,42.4489,p
-93.9651,29.8665,p
-104.6753,39.8994,p
-104.5308,38.2844,p
-81.5306,41.0733,p
-81.5689,41.1533,p
-74.3767,41.4043,p
-87.4889,31.5825,p
-87.4889,31.5825,p
-122.2889,37.7886,p
-118.6867,34.8158,p
-117.3475,34.6822,p
-105.9998,32.8657,p
-105.8947,37.4594,p
-94.339,40.245,p
-73.7777,42.655,p
-94.5993,45.6413,p
-80.1939,35.3636,p
-80.1518,35.4072,p
-77.5569,35.2931,p
-116.9986,48.1802,p
-77.8127,35.093,p
-86.2239,34.3634,p
-106.6,35.169000000000004,p
-83.8045,44.562,p
-106.7175,42.5484,p
-123.406,46.1584,p
-122.3102,46.8016,p
-74.735,40.0006,p
-89.7553,45.1875,p
-99.5075,38.4247,p
-95.3797,45.8892,p
-106.4642,35.3844,p
-94.2392,43.0733,p
-119.5522,36.6842,p
-119.2433,35.1261,p
-72.6255,41.9227,p
-73.4648,44.5192,p
-84.7282,34.1637,p
-85.954,42.5638,p
-78.0686,42.5027,p
-79.479,40.8966,p
-79.5507,40.955999999999996,p
-79.5772,40.7164,p
-79.6653,40.6829,p
-78.5794,40.3839,p
-92.7786,45.03,p
-90.1487,35.0741,p
-81.2819,32.995,p
-95.6333,43.4,p
-74.8603,44.6603,p
-76.9178,41.1511,p
-89.975,29.6833,p
-88.5064,44.1936,p
-91.704,42.0243,p
-92.0592,41.7958,p
-91.5975,42.0289,p
-91.6458,42.0356,p
-92.8971,42.056000000000004,p
-91.5542,43.0906,p
-91.6361,41.935,p
-90.745,42.4906,p
-92.1331,43.3744,p
-90.6847,42.53,p
-91.7042,42.0264,p
-91.6542,41.9167,p
-93.6033,42.8381,p
-91.6385,41.9244,p
-91.6662,41.9701,p
-91.7111,42.0277,p
-146.3533,61.0844,p
-120.985,37.5744,p
-119.4353,35.8983,p
-119.4428,35.9025,p
-76.9019,39.305,p
-84.8253,45.0637,p
-118.5047,34.7892,p
-90.436,39.5698,p
-95.3026,42.6736,p
-120.8036,39.216,p
-118.3534,35.0337,p
-118.2953,35.0239,p
-118.2953,35.0239,p
-118.2422,35.0086,p
-118.2422,35.0086,p
-118.2348,35.0267,p
-118.2,35.06,p
-118.39,35.065,p
-117.7742,34.0594,p
-121.116,37.7325,p
-88.7555,39.0687,p
-121.6499,37.7493,p
-79.2736,37.1187,p
-116.5551,33.915,p
-116.5753,43.6058,p
-114.4328,42.5328,p
-117.2458,34.0884,p
-157.8567,67.08800000000001,p
-120.105,40.3008,p
-78.0589,37.3097,p
-121.73,39.674,p
-72.5367,42.1626,p
-118.6429,34.4317,p
-96.6444,32.6486,p
-75.7233,39.0339,p
-75.4342,38.5992,p
-121.1851,37.8834,p
-89.0208,42.7083,p
